# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
41.60	-52.827096	-52.959170
41.70	-52.288482	-53.628787
41.80	-51.749868	-53.979367
41.90	-51.209891	-53.779171
42.00	-50.664477	-53.920817
42.10	-50.119064	-53.807640
42.20	-49.573651	-53.761993
42.30	-49.028237	-53.371729
42.40	-48.482824	-52.908174
42.50	-47.937411	-52.288739
42.60	-47.391997	-51.978429
42.70	-46.846584	-51.751404
42.80	-47.450342	-51.807138
42.90	-48.211163	-51.639120
43.00	-48.971985	-51.633158
43.10	-49.732806	-51.289218
43.20	-50.493628	-51.224860
43.30	-51.254449	-50.810765
43.40	-51.749868	-49.980544
43.50	-52.220573	-49.581247
43.60	-52.691277	-48.786787
43.70	-53.161982	-48.491165
43.80	-53.632686	-47.779661
43.90	-54.103391	-47.576432
44.00	-54.574096	-47.440397
44.10	-54.893787	-47.160953
44.20	-54.846204	-46.655583
44.30	-54.798620	-46.467344
44.40	-54.751036	-46.872818
44.50	-54.703453	-47.600539
44.60	-54.655869	-48.487535
44.70	-54.608285	-48.791566
44.80	-54.560702	-49.379221
44.90	-54.513118	-50.126503
45.00	-54.156865	-50.824497
45.10	-53.373192	-51.292475
45.20	-52.589518	-51.238547
45.30	-51.805845	-51.407380
45.40	-51.022171	-51.236188
45.50	-51.120484	-51.565370
45.60	-51.881306	-51.678867
45.70	-52.642127	-52.295072
45.80	-53.402949	-52.829061
45.90	-54.163770	-53.237141
46.00	-54.924592	-53.183958
46.10	-54.877141	-52.504523
46.20	-54.304414	-51.528053
46.30	-53.731686	-50.920150
46.40	-53.158959	-50.525447
46.50	-52.586232	-50.465592
46.60	-52.013504	-50.156044
46.70	-51.440777	-49.937645
46.80	-50.868050	-50.021778
46.90	-50.642703	-50.774423
47.00	-51.177670	-51.430827
47.10	-51.712636	-51.810212
47.20	-52.247602	-51.834387
